Time,BS_Name
,丸亀西線 城西高校方面 
8:00,労災病院
8:01,丸亀城前
8:02,丸亀市役所前（マルタス前）
8:03,丸亀通町
8:04,南条町
8:08,丸亀駅
8:09,南条町
8:10,城西小学校前
8:10,丸亀高校
8:12,津森町
8:12,城西高校前
8:13,今津町南
8:15,ゆめタウン前
8:16,先代池
8:18,田村団地
8:20,ボートピア丸亀
8:22,丸亀スタジアム
8:23,原田西三分一
8:23,善通寺原田東(※)
8:26,善通寺ICバスターミナル
8:30,木徳
8:31,竜川
8:33,きむら
8:33,まつねクリニック前
8:34,黒嶋
8:37,ボートピア丸亀
8:39,市民体育館前
8:39,丸亀警察署前
8:41,先代池
8:43,ゆめタウン前
8:44,今津町南
8:45,城西高校前
8:45,津森町
8:48,丸亀高校
8:48,城西小学校前
8:50,南条町
8:54,丸亀駅
8:55,南条町
8:57,丸亀通町
8:58,丸亀市役所前（マルタス前）
8:59,丸亀城前
9:01,労災病院
,丸亀西線 城西高校方面 
9:00,労災病院
9:01,丸亀城前
9:02,丸亀市役所前（マルタス前）
9:03,丸亀通町
9:04,南条町
9:08,丸亀駅
9:09,南条町
9:10,城西小学校前
9:10,丸亀高校
9:12,津森町
9:12,城西高校前
9:13,今津町南
9:15,ゆめタウン前
9:16,先代池
9:18,田村団地
9:20,ボートピア丸亀
9:22,丸亀スタジアム
9:23,原田西三分一
9:23,善通寺原田東(※)
9:26,善通寺ICバスターミナル
9:30,木徳
9:31,竜川
9:33,きむら
9:33,まつねクリニック前
9:34,黒嶋
9:37,ボートピア丸亀
9:39,市民体育館前
9:39,丸亀警察署前
9:41,先代池
9:43,ゆめタウン前
9:44,今津町南
9:45,城西高校前
9:45,津森町
9:48,丸亀高校
9:48,城西小学校前
9:50,南条町
9:54,丸亀駅
9:55,南条町
9:57,丸亀通町
9:58,丸亀市役所前（マルタス前）
9:59,丸亀城前
10:01,労災病院
,丸亀西線 城西高校方面 
11:00,労災病院
11:01,丸亀城前
11:02,丸亀市役所前（マルタス前）
11:03,丸亀通町
11:04,南条町
11:08,丸亀駅
11:09,南条町
11:10,城西小学校前
11:10,丸亀高校
11:12,津森町
11:12,城西高校前
11:13,今津町南
11:15,ゆめタウン前
11:16,先代池
11:18,田村団地
11:20,ボートピア丸亀
11:22,丸亀スタジアム
11:23,原田西三分一
11:23,善通寺原田東(※)
11:26,善通寺ICバスターミナル
11:30,木徳
11:31,竜川
11:33,きむら
11:33,まつねクリニック前
11:34,黒嶋
11:37,ボートピア丸亀
11:39,市民体育館前
11:39,丸亀警察署前
11:41,先代池
11:43,ゆめタウン前
11:44,今津町南
11:45,城西高校前
11:45,津森町
11:48,丸亀高校
11:48,城西小学校前
11:50,南条町
11:54,丸亀駅
11:55,南条町
11:57,丸亀通町
11:58,丸亀市役所前（マルタス前）
11:59,丸亀城前
12:01,労災病院
,丸亀西線 城西高校方面 
13:00,労災病院
13:01,丸亀城前
13:02,丸亀市役所前（マルタス前）
13:03,丸亀通町
13:04,南条町
13:08,丸亀駅
13:09,南条町
13:10,城西小学校前
13:10,丸亀高校
13:12,津森町
13:12,城西高校前
13:13,今津町南
13:15,ゆめタウン前
13:16,先代池
13:18,田村団地
13:20,ボートピア丸亀
13:22,丸亀スタジアム
13:23,原田西三分一
13:23,善通寺原田東(※)
13:26,善通寺ICバスターミナル
13:30,木徳
13:31,竜川
13:33,きむら
13:33,まつねクリニック前
13:34,黒嶋
13:37,ボートピア丸亀
13:39,市民体育館前
13:39,丸亀警察署前
13:41,先代池
13:43,ゆめタウン前
13:44,今津町南
13:45,城西高校前
13:45,津森町
13:48,丸亀高校
13:48,城西小学校前
13:50,南条町
13:54,丸亀駅
13:55,南条町
13:57,丸亀通町
13:58,丸亀市役所前（マルタス前）
13:59,丸亀城前
14:01,労災病院
,丸亀西線 城西高校方面 
15:00,労災病院
15:01,丸亀城前
15:02,丸亀市役所前（マルタス前）
15:03,丸亀通町
15:04,南条町
15:08,丸亀駅
15:09,南条町
15:10,城西小学校前
15:10,丸亀高校
15:12,津森町
15:12,城西高校前
15:13,今津町南
15:15,ゆめタウン前
15:16,先代池
15:18,田村団地
15:20,ボートピア丸亀
15:22,丸亀スタジアム
15:23,原田西三分一
15:23,善通寺原田東(※)
15:26,善通寺ICバスターミナル
15:30,木徳
15:31,竜川
15:33,きむら
15:33,まつねクリニック前
15:34,黒嶋
15:37,ボートピア丸亀
15:39,市民体育館前
15:39,丸亀警察署前
15:41,先代池
15:43,ゆめタウン前
15:44,今津町南
15:45,城西高校前
15:45,津森町
15:48,丸亀高校
15:48,城西小学校前
15:50,南条町
15:54,丸亀駅
15:55,南条町
15:57,丸亀通町
15:58,丸亀市役所前（マルタス前）
15:59,丸亀城前
16:01,労災病院
,丸亀西線 城西高校方面 
17:00,労災病院
17:01,丸亀城前
17:02,丸亀市役所前（マルタス前）
17:03,丸亀通町
17:04,南条町
17:08,丸亀駅
17:09,南条町
17:10,城西小学校前
17:10,丸亀高校
17:12,津森町
17:12,城西高校前
17:13,今津町南
17:16,ゆめタウン前
17:17,先代池
17:19,田村団地
17:21,ボートピア丸亀
17:23,丸亀スタジアム
17:24,原田西三分一
17:24,善通寺原田東(※)
17:28,善通寺ICバスターミナル
17:32,木徳
17:33,竜川
17:36,きむら
17:36,まつねクリニック前
17:37,黒嶋
17:40,ボートピア丸亀
17:43,市民体育館前
17:43,丸亀警察署前
17:45,先代池
17:47,ゆめタウン前
17:48,今津町南
17:49,城西高校前
17:49,津森町
17:52,丸亀高校
17:52,城西小学校前
17:54,南条町
17:58,丸亀駅
17:59,南条町
18:01,丸亀通町
18:02,丸亀市役所前（マルタス前）
18:03,丸亀城前
18:05,労災病院
,丸亀西線 城西高校方面 
19:00,労災病院
19:01,丸亀城前
19:02,丸亀市役所前（マルタス前）
19:03,丸亀通町
19:04,南条町
19:07,丸亀駅
19:08,南条町
19:09,城西小学校前
19:09,丸亀高校
19:11,津森町
19:11,城西高校前
19:12,今津町南
19:14,ゆめタウン前
19:15,先代池
19:17,田村団地
19:19,ボートピア丸亀
19:21,丸亀スタジアム
19:22,原田西三分一
19:22,善通寺原田東(※)
19:25,善通寺ICバスターミナル
19:28,木徳
19:29,竜川
19:31,きむら
19:31,まつねクリニック前
19:32,黒嶋
19:35,ボートピア丸亀
19:37,市民体育館前
19:37,丸亀警察署前
19:39,先代池
19:41,ゆめタウン前
19:42,今津町南
19:43,城西高校前
19:43,津森町
19:46,丸亀高校
19:46,城西小学校前
19:48,南条町
19:52,丸亀駅
19:53,南条町
19:55,丸亀通町
19:56,丸亀市役所前（マルタス前）
19:57,丸亀城前
19:59,労災病院
