Time,BS_Name
,丸亀垂水線右回り
6:06,丸亀港
6:10,丸亀駅
6:11,南条町
6:13,丸亀通町
6:14,丸亀市役所前（マルタス前）
6:15,丸亀城前
6:17,労災病院
6:18,城東町
6:18,高津
6:19,高津団地
6:20,西村下
6:21,西村
6:22,高熊
6:23,双子山
6:24,川西・原
6:25,春日の辻
6:26,城辰小学校
6:27,川西ふれあい会館
6:28,岸の上（城辰保育所通り）
6:29,アイファミリークリニック前
6:30,西小川
6:30,フジグラン
6:31,剱来松木自治会館前
6:32,土器川生物公園
6:33,垂水団地
6:34,垂水橋
6:35,上代
6:36,東高篠
6:36,丸亀南
6:37,丸亀浄水場
6:39,願誓寺
6:40,金竹
6:42,垂水ふれあいセンター
6:43,八尺
6:44,田井
6:46,立の外
6:47,郡家郵便局
6:47,宝幢寺池
6:48,下所
6:49,籠池
6:50,両宮
6:51,一里屋
6:51,郡家原
6:52,ポリテクカレッジ前
6:53,三船病院
6:55,亀山学園
6:56,ぽかぽか温泉前
6:57,蓮池公園
7:00,中府町
7:01,丸亀高校
7:01,城西小学校前
7:04,丸亀市役所前（マルタス前）
7:05,丸亀通町
7:06,南条町
7:10,丸亀駅
7:16,丸亀港
,丸亀垂水線右回り
6:36,丸亀港
6:40,丸亀駅
6:41,南条町
6:43,丸亀通町
6:44,丸亀市役所前（マルタス前）
6:45,丸亀城前
6:47,労災病院
6:48,城東町
6:48,高津
6:49,高津団地
6:50,西村下
6:51,西村
6:52,高熊
6:53,双子山
6:54,川西・原
6:55,春日の辻
6:56,城辰小学校
6:57,川西ふれあい会館
6:58,岸の上（城辰保育所通り）
6:59,アイファミリークリニック前
7:00,西小川
7:00,フジグラン
7:01,剱来松木自治会館前
7:02,土器川生物公園
7:03,垂水団地
7:04,垂水橋
7:05,上代
7:06,東高篠
7:06,丸亀南
7:07,丸亀浄水場
7:09,願誓寺
7:10,金竹
7:12,垂水ふれあいセンター
7:13,八尺
7:14,田井
7:16,立の外
7:17,郡家郵便局
7:17,宝幢寺池
7:18,下所
7:19,籠池
7:20,両宮
7:21,一里屋
7:21,郡家原
7:22,ポリテクカレッジ前
7:23,三船病院
7:25,亀山学園
7:26,ぽかぽか温泉前
7:27,蓮池公園
7:30,中府町
7:31,丸亀高校
7:32,城西小学校前
7:35,丸亀市役所前（マルタス前）
7:36,丸亀通町
7:37,南条町
7:41,丸亀駅
7:47,丸亀港
,丸亀垂水線右回り
7:56,丸亀港
8:00,丸亀駅
8:01,南条町
8:03,丸亀通町
